"launch_id","name","date_utc","year","launch_success","landing_success","reuse_flight","reuse_bucket","is_reused","payload_mass_kg_total","landing_type","landpad"
"5eb87d4effd86e000604b390","GPS III SV05","2021-06-17T16:09:00.000Z",2021,1,1,2,"2",1,3681,"ASDS","5e9e3033383ecbb9e534e7cc"
"5eb87d4effd86e000604b391","CRS-21","2020-12-06T16:17:00.000Z",2020,1,1,4,"4",1,2972,"ASDS","5e9e3032383ecb6bb234e7ca"
"5eb87d4fffd86e000604b393","Turksat 5A","2021-01-08T02:15:00.000Z",2021,1,1,4,"4",1,3500,"ASDS","5e9e3033383ecbb9e534e7cc"
"5eb87d50ffd86e000604b394","ANASIS-II","2020-07-20T21:30:00.000Z",2020,1,1,2,"2",1,NA,"ASDS","5e9e3033383ecbb9e534e7cc"
"5ed9819a1f30554030d45c29","Starlink-9 (v1.0) & BlackSky Global 5-6","2020-08-07T05:12:00.000Z",2020,1,1,5,"5+",1,15712,"ASDS","5e9e3032383ecb6bb234e7ca"
"5ed981d91f30554030d45c2a","Starlink-10 (v1.0) & SkySat 19-21","2020-08-18T14:31:00.000Z",2020,1,1,6,"5+",1,15600,"ASDS","5e9e3032383ecb6bb234e7ca"
"5ed983aa1f30554030d45c31","Sentinel-6 Michael Freilich","2020-11-21T17:17:00.000Z",2020,1,1,1,"1",0,1440,"RTLS","5e9e3032383ecb554034e7c9"
"5ef6a1e90059c33cee4a828a","Starlink-11 (v1.0)","2020-09-03T12:46:00.000Z",2020,1,1,2,"2",1,15600,"ASDS","5e9e3032383ecb6bb234e7ca"
"5ef6a2090059c33cee4a828b","Starlink-12 (v1.0)","2020-10-06T11:29:00.000Z",2020,1,1,3,"3",1,15600,"ASDS","5e9e3032383ecb6bb234e7ca"
"5ef6a2bf0059c33cee4a828c","Starlink-13 (v1.0)","2020-10-18T12:25:00.000Z",2020,1,1,6,"5+",1,15600,"ASDS","5e9e3032383ecb6bb234e7ca"
"5ef6a2e70059c33cee4a8293","Starlink-14 (v1.0)","2020-10-24T15:31:00.000Z",2020,1,1,3,"3",1,15600,"ASDS","5e9e3033383ecbb9e534e7cc"
"5f8399fb818d8b59f5740d43","NROL-108","2020-12-19T14:00:00.000Z",2020,1,1,5,"5+",1,NA,"RTLS","5e9e3032383ecb267a34e7c7"
"5fb95b3f3a88ae63c954603c","Starlink-15 (v1.0)","2020-11-25T02:13:00.000Z",2020,1,1,7,"5+",1,15600,"ASDS","5e9e3032383ecb6bb234e7ca"
"5fbfecce54ceb10a5664c80a","Starlink-16 (v1.0)","2021-01-20T13:02:00.000Z",2021,1,1,8,"5+",1,15600,"ASDS","5e9e3033383ecbb9e534e7cc"
"5fbfecfe54ceb10a5664c80b","Starlink-17 (v1.0)","2021-03-04T08:24:00.000Z",2021,1,1,8,"5+",1,15600,"ASDS","5e9e3032383ecb6bb234e7ca"
"5fd386aa7faea57d297c86c1","Transporter-1","2021-01-24T15:00:00.000Z",2021,1,1,5,"5+",1,NA,"ASDS","5e9e3032383ecb6bb234e7ca"
"5fe3af43b3467846b324215e","SARah 1","2022-06-18T14:19:00.000Z",2022,1,1,3,"3",1,2200,"RTLS","5e9e3032383ecb554034e7c9"
"5fe3af58b3467846b324215f","Crew-2","2021-04-23T09:49:00.000Z",2021,1,1,2,"2",1,NA,"ASDS","5e9e3032383ecb6bb234e7ca"
"5fe3af6db3467846b3242160","SXM-8","2021-06-06T04:26:00.000Z",2021,1,1,3,"3",1,7000,"ASDS","5e9e3033383ecbb9e534e7cc"
"5fe3af84b3467846b3242161","CRS-22 & IROSA","2021-06-03T17:29:00.000Z",2021,1,1,1,"1",0,3328,"ASDS","5e9e3032383ecb6bb234e7ca"
"5fe3afc1b3467846b3242164","Türksat 5B","2021-12-19T03:58:00.000Z",2021,1,1,3,"3",1,3500,"ASDS","5e9e3033383ecb075134e7cd"
"5fe3b107b3467846b324216b","DART","2021-11-24T06:20:00.000Z",2021,1,1,2,"2",1,670,"ASDS","5e9e3032383ecb6bb234e7ca"
"5fe3b11eb3467846b324216c","CRS-23","2021-08-29T07:14:00.000Z",2021,1,1,4,"4",1,NA,"ASDS","5e9e3033383ecb075134e7cd"
"5fe3b15eb3467846b324216d","Crew-3","2021-11-11T02:03:00.000Z",2021,1,1,2,"2",1,12519,"ASDS","5e9e3033383ecb075134e7cd"
"5ff6554f9257f579ee3a6c5f","Starlink-18 (v1.0)","2021-02-04T06:19:00.000Z",2021,1,1,5,"5+",1,15600,"ASDS","5e9e3032383ecb6bb234e7ca"
"600f9a5e8f798e2a4d5f979c","Starlink-19 (v1.0)","2021-02-16T03:59:00.000Z",2021,1,0,6,"5+",1,15600,"ASDS","5e9e3032383ecb6bb234e7ca"
"600f9a718f798e2a4d5f979d","Starlink-20 (v1.0)","2021-03-11T08:13:00.000Z",2021,1,1,6,"5+",1,15600,"ASDS","5e9e3033383ecbb9e534e7cc"
"600f9a8d8f798e2a4d5f979e","Starlink-21 (v1.0)","2021-03-14T10:01:00.000Z",2021,1,1,9,"5+",1,15600,"ASDS","5e9e3032383ecb6bb234e7ca"
"600f9b6d8f798e2a4d5f979f","Transporter-2","2021-06-30T19:31:00.000Z",2021,1,1,8,"5+",1,NA,"RTLS","5e9e3032383ecb267a34e7c7"
"60428aafc041c16716f73cd7","Starlink-22 (v1.0)","2021-03-24T08:28:00.000Z",2021,1,1,6,"5+",1,15600,"ASDS","5e9e3032383ecb6bb234e7ca"
"60428ac4c041c16716f73cd8","Starlink-23 (v1.0)","2021-04-07T16:34:00.000Z",2021,1,1,7,"5+",1,15600,"ASDS","5e9e3032383ecb6bb234e7ca"
"605b4b6aaa5433645e37d03f","Starlink-24 (v1.0)","2021-04-29T03:44:00.000Z",2021,1,1,7,"5+",1,15600,"ASDS","5e9e3033383ecbb9e534e7cc"
